age,income,employment_length,debt_to_income,credit_utilization,payment_history,number_of_accounts,loan_amount,loan_term,home_ownership,purpose,credit_score
56,32952.264678517924,5.205578522046828,10.914317507627386,46.16548076048401,7,7,9820.331498443,12,OWN,HOME_IMPROVEMENT,0
69,59507.3122138402,10.186394970986735,52.102842675412596,19.31362671974192,0,13,13674.651519342244,12,MORTGAGE,HOME_IMPROVEMENT,0
46,62649.08433284602,7.478249395119402,24.52979740314993,71.619615051372,2,10,28920.261592698334,36,RENT,HOME_IMPROVEMENT,0
32,40516.4364979207,4.9725297634727035,7.622018025148342,48.91719646790151,5,5,20301.937001631944,24,OWN,PERSONAL,0
60,34564.5608521425,20.159499622280443,21.49507094711345,55.62495691542758,11,11,17098.897742871755,24,OWN,EDUCATION,0
25,82190.41331551946,5.786665011910045,45.976136971787504,76.94692128327803,3,6,26122.589221211216,60,OWN,BUSINESS,0
38,54549.91751464107,18.541737146405204,22.849077473379094,60.00929207335371,11,7,33860.14546100166,24,MORTGAGE,BUSINESS,0
56,62719.35501423476,0.2955051866549369,23.592058351381585,58.57600461537405,9,9,5618.079796040751,12,MORTGAGE,EDUCATION,0
36,33558.47976344145,0.748073743005438,79.19550052933899,34.98927185300247,8,4,1000.0,12,RENT,DEBT_CONSOLIDATION,0
40,25614.310669556126,3.0024648600016017,19.466451587574543,36.68063738102392,1,10,14993.61717030357,36,RENT,EDUCATION,0
28,38611.00451015779,2.4296851590936934,54.596311643525944,58.306091737605136,2,5,10601.700185110565,48,MORTGAGE,HOME_IMPROVEMENT,0
28,47519.57225220006,7.633183710796554,19.367461004373013,44.7551858445176,12,5,11204.377561971996,48,MORTGAGE,EDUCATION,0
41,28715.599863653024,0.8754231916784044,48.170018448607806,57.454840376512685,1,15,47190.79635417811,12,OWN,BUSINESS,0
53,49803.10382699234,18.66837564784593,9.53678120236269,35.37762173629937,1,9,34960.078174380425,36,OWN,BUSINESS,0
57,16229.896238629997,1.8921630680424188,12.911857745437096,39.103857982463914,10,10,57089.29093929473,48,OWN,PERSONAL,0
41,27599.051550602555,2.8011623329395077,46.13882214879201,79.80557380364522,12,11,3139.3309241647003,36,OWN,HOME_IMPROVEMENT,1
20,63418.224965537505,1.6061600327954682,19.9939983343894,24.599763635216025,12,9,26790.66758981112,36,OWN,HOME_IMPROVEMENT,0
39,62075.81040555788,4.329932588078394,69.71029343642365,10.451591818516306,9,14,15821.96872622331,24,OWN,DEBT_CONSOLIDATION,0
19,42162.46469226267,0.30208818719087366,31.242123075598577,58.72815937629624,3,11,23635.35406116738,48,OWN,EDUCATION,0
41,29644.71381846094,0.810697981212478,33.99596022777578,74.5794974221457,11,8,20956.966633628897,24,OWN,PERSONAL,0
61,29451.92896947978,6.848124428614216,19.811971293170597,34.13671949789929,2,13,23715.601959418906,48,RENT,EDUCATION,0
47,42534.63508117372,1.0320503473866618,9.735518016346465,31.36022976587864,7,5,37775.05801055289,12,RENT,EDUCATION,0
55,62890.369832905824,1.342760785352579,22.909336367160527,69.07002846931526,5,7,34926.21239503571,36,MORTGAGE,HOME_IMPROVEMENT,0
19,68564.91382688649,7.874753358222469,3.979575992887504,68.08491604102976,0,6,27649.76461196581,24,RENT,HOME_IMPROVEMENT,0
38,40069.36529036062,0.48972471970963444,41.549119855416535,72.13211537944682,5,5,26288.61268322754,48,MORTGAGE,HOME_IMPROVEMENT,0
50,26930.151480304325,2.876588043450527,16.849323261606852,47.5570835048029,2,11,26641.42019529176,48,OWN,BUSINESS,0
29,55356.872757326666,0.1166675413168605,30.81125671805601,37.25032704350849,2,3,18485.815024749463,36,OWN,PERSONAL,0
39,33529.30058748301,2.1294162287418503,36.194506114319054,77.01569094387007,3,11,43605.0990323118,48,MORTGAGE,EDUCATION,0
61,39634.947222775954,6.002916153977833,17.075850653527343,76.01096905243581,7,9,29099.508535777415,12,MORTGAGE,BUSINESS,0
42,76505.52180874076,0.4721209005347559,32.02886760533314,48.622955397380466,6,8,44138.529570877894,12,RENT,DEBT_CONSOLIDATION,0
66,66542.30857131536,10.961243094928193,22.209678538792375,47.29974887543251,12,9,47575.55728263144,60,MORTGAGE,EDUCATION,0
44,53159.48624502903,12.011974265457336,20.558258109541345,58.37266658220026,2,3,21269.44973541381,36,RENT,HOME_IMPROVEMENT,0
59,24561.619977745544,0.5546040335748883,29.994562001543954,49.31045489883024,0,5,16552.47981516012,24,MORTGAGE,BUSINESS,0
45,54227.93134941318,23.406173788284782,19.787716501255225,75.59356866678728,5,8,16746.641520506342,48,RENT,PERSONAL,0
33,71253.14581575053,1.7657597377476626,58.34848891565541,32.68647028594195,0,9,52838.1119406808,12,OWN,HOME_IMPROVEMENT,0
32,42487.32668468929,0.4392495757676607,8.82713966866351,63.00306825152825,4,13,15401.98827624958,36,MORTGAGE,EDUCATION,0
64,77022.28179973431,0.02539997927279381,25.327419552161906,29.43500808764964,12,7,16829.308863479608,24,OWN,DEBT_CONSOLIDATION,0
68,75854.90579036414,2.6256615214110246,10.427872569757444,53.36236478414038,3,4,28684.624961883706,60,MORTGAGE,HOME_IMPROVEMENT,0
61,83274.65664286946,4.968694265105061,69.39392213835063,49.358553811728925,5,6,22191.733692954782,12,RENT,BUSINESS,0
69,56104.862530627055,2.018677398166175,54.62591128566196,45.63733096841836,1,8,24293.107496758985,60,MORTGAGE,PERSONAL,0
20,61747.833996120244,9.061363127974657,51.73276366428421,21.744856459879912,1,11,3976.986809392398,36,RENT,BUSINESS,0
54,78283.7457666218,6.304590479067688,2.0526593682165295,55.362678897077174,11,4,48252.97069528198,24,MORTGAGE,BUSINESS,0
68,58947.878741379514,2.1551572884820516,34.15958190334003,83.83923054459788,4,8,10556.508944677373,60,RENT,BUSINESS,0
24,39975.31784419574,6.62711904272002,24.00046488468308,31.16876629903423,0,12,29859.591846230505,36,OWN,DEBT_CONSOLIDATION,0
38,41029.14326944277,14.107864431546869,46.134081010545444,61.79967577182618,11,13,22970.400342245724,36,OWN,EDUCATION,0
26,54771.09907547478,0.48859338151089254,26.59923144457046,55.7399226199896,2,6,55978.00301095411,36,MORTGAGE,DEBT_CONSOLIDATION,0
56,24188.771561075628,1.8271656409712758,21.831007995330566,66.60238976303026,9,9,32008.66314508075,24,MORTGAGE,BUSINESS,0
35,47134.82169271615,3.111821658616129,36.86542365961339,29.561385078299768,12,7,33736.7605989319,36,MORTGAGE,HOME_IMPROVEMENT,0
21,71930.94236460507,3.4456774682831175,40.552652268545295,44.36666978243793,5,8,24551.497620930953,12,OWN,BUSINESS,0
42,10000.0,3.9065667918617013,26.670710644915186,89.97031286274182,0,12,26097.51032732358,24,RENT,DEBT_CONSOLIDATION,0
31,80689.6420358903,1.7878546299014328,41.85371968544107,54.57972017597802,10,6,29356.75461352764,24,MORTGAGE,DEBT_CONSOLIDATION,0
67,72447.48437406319,5.5019640540216415,24.360028567907694,36.197754562072355,10,6,30009.929323466764,48,OWN,HOME_IMPROVEMENT,0
26,40804.70768339047,5.179377779772429,34.553330618827765,48.23343147629194,1,15,28293.527175080562,12,OWN,DEBT_CONSOLIDATION,0
43,60867.81655743619,4.311635417263815,67.36497645418056,25.849412353706334,1,8,15550.557193553752,12,OWN,PERSONAL,0
19,50062.954538126534,0.6038471370662717,26.169229667484412,57.93186688434601,9,10,31743.596847773108,48,OWN,PERSONAL,0
37,74599.80736877366,3.2405621155186366,43.61393458182775,29.7978144876346,8,5,11833.125850633614,24,OWN,EDUCATION,0
45,69653.66285539883,2.2020446235978026,38.61253329683695,33.44866027600407,12,10,25862.368029460602,24,OWN,DEBT_CONSOLIDATION,0
64,21998.585536339815,3.376914222688097,21.300273911107112,30.067138063656135,6,9,4025.4595001101698,60,RENT,DEBT_CONSOLIDATION,0
24,61745.24826928353,12.74667775763165,30.230615863401194,73.01031316838174,1,13,32605.33918690137,36,OWN,DEBT_CONSOLIDATION,0
61,45887.442927135045,3.2747440179020963,18.52753800707326,53.46028529864647,12,4,7197.033252326291,48,MORTGAGE,PERSONAL,0
25,51656.651410362,0.07039721838130875,16.628577045791452,64.09175694205516,0,10,38971.777492210094,36,RENT,HOME_IMPROVEMENT,0
64,35436.561980603685,2.8887169816975606,23.386879193908307,62.85154229240523,12,6,13329.126418973496,24,MORTGAGE,EDUCATION,0
52,84962.74138241672,8.592029637874427,10.273773552400316,40.69623731869999,0,6,34668.25820619466,60,MORTGAGE,BUSINESS,0
31,70801.23639805152,7.572023473495877,37.2948322762294,73.90497701702354,10,12,48189.0630459488,48,MORTGAGE,PERSONAL,0
34,35204.57672054065,3.6014622459320482,24.684971562171228,33.632493708114765,8,9,46987.30867677451,60,OWN,BUSINESS,0
53,23307.787861795347,1.436870685072592,65.60400007803337,72.07130603406041,4,8,23807.137261600186,12,RENT,BUSINESS,0
