employee_id,department,position,salary,tenure,performance_rating,satisfaction_score,overtime_hours,projects_completed,training_hours,recruitment_source,hire_date,attrition,current_date,tenure_months
1,HR,Director,95979,5,3,1.1842522547279097,4,8,27,Agency,2015-01-01,0,2025-10-24 13:32:02.888212,131
2,Finance,Manager,120384,4,3,4.723296299960456,5,5,7,Referral,2015-01-02,0,2025-10-24 13:32:02.888212,131
3,Marketing,Senior,50249,4,4,3.6431941187636414,5,10,13,Referral,2015-01-03,0,2025-10-24 13:32:02.888212,131
4,Finance,Junior,63999,5,2,3.985451537252966,2,4,20,Website,2015-01-04,0,2025-10-24 13:32:02.888212,131
5,Finance,Senior,34663,3,2,2.246286958328916,3,9,21,Agency,2015-01-05,1,2025-10-24 13:32:02.888212,131
6,Sales,Senior,98275,10,3,4.382614089109369,1,6,27,Campus,2015-01-06,0,2025-10-24 13:32:02.888212,131
7,Marketing,Director,66637,5,4,2.038413134833914,3,14,20,Website,2015-01-07,0,2025-10-24 13:32:02.888212,131
8,Marketing,Manager,80154,3,1,1.0065750284497987,3,5,19,Referral,2015-01-08,0,2025-10-24 13:32:02.888212,131
9,Marketing,Mid-Level,59891,8,5,2.505659850082776,5,9,22,Website,2015-01-09,0,2025-10-24 13:32:02.888212,131
10,Finance,Manager,66832,4,3,3.2830459238362937,6,12,8,LinkedIn,2015-01-10,0,2025-10-24 13:32:02.888212,131
11,HR,Manager,105579,1,5,2.91481943186209,5,5,14,Agency,2015-01-11,0,2025-10-24 13:32:02.888212,131
12,Marketing,Senior,92355,1,5,4.448304570306388,4,11,14,Campus,2015-01-12,0,2025-10-24 13:32:02.888212,131
13,Operations,Manager,72211,0,3,1.4216211438246678,5,10,24,Referral,2015-01-13,0,2025-10-24 13:32:02.888212,131
14,Finance,Junior,94195,11,2,3.2152937625349023,6,12,26,Website,2015-01-14,1,2025-10-24 13:32:02.888212,131
15,Sales,Senior,94747,6,2,3.0519173992836297,3,9,29,Campus,2015-01-15,0,2025-10-24 13:32:02.888212,131
16,HR,Junior,65214,13,2,2.125571928688652,1,12,22,Agency,2015-01-16,0,2025-10-24 13:32:02.888212,131
17,Operations,Mid-Level,38273,4,4,4.288912450308042,3,7,24,Campus,2015-01-17,0,2025-10-24 13:32:02.888212,131
18,Operations,Senior,52520,3,2,4.011394623528825,5,19,20,Agency,2015-01-18,0,2025-10-24 13:32:02.888212,131
19,Sales,Mid-Level,41486,0,3,3.931436749327324,5,7,17,Agency,2015-01-19,0,2025-10-24 13:32:02.888212,131
20,HR,Senior,104110,5,3,4.504769913078224,4,6,14,Agency,2015-01-20,0,2025-10-24 13:32:02.888212,131
21,Finance,Director,108452,4,5,3.8911384024860847,3,10,14,Website,2015-01-21,0,2025-10-24 13:32:02.888212,130
22,Engineering,Manager,114659,23,2,1.9273651668589058,5,10,13,Agency,2015-01-22,0,2025-10-24 13:32:02.888212,130
23,HR,Director,24511,1,1,3.8222508465987644,4,10,23,Campus,2015-01-23,0,2025-10-24 13:32:02.888212,130
24,Sales,Mid-Level,101785,3,1,2.2308112535593754,5,6,17,LinkedIn,2015-01-24,0,2025-10-24 13:32:02.888212,130
25,Operations,Manager,130304,5,5,1.9686986013898822,9,9,16,Campus,2015-01-25,0,2025-10-24 13:32:02.888212,130
26,Finance,Senior,102799,5,3,1.2920143715985093,3,11,9,Website,2015-01-26,0,2025-10-24 13:32:02.888212,130
27,HR,Manager,21219,4,2,3.976114321390707,6,4,15,Agency,2015-01-27,0,2025-10-24 13:32:02.888212,130
28,Engineering,Junior,119207,7,2,3.844003847799245,3,3,18,LinkedIn,2015-01-28,0,2025-10-24 13:32:02.888212,130
29,Engineering,Manager,76042,1,2,1.937997910696375,8,6,12,Website,2015-01-29,1,2025-10-24 13:32:02.888212,130
30,Marketing,Junior,69190,6,2,3.997516066896624,5,9,33,Referral,2015-01-30,0,2025-10-24 13:32:02.888212,130
31,Marketing,Manager,86277,4,5,4.671363532374212,5,10,13,Referral,2015-01-31,0,2025-10-24 13:32:02.888212,130
32,Sales,Junior,48774,11,4,1.432115829966317,3,7,25,Referral,2015-02-01,0,2025-10-24 13:32:02.888212,130
33,HR,Mid-Level,75069,9,3,1.9305465535470998,5,5,19,LinkedIn,2015-02-02,0,2025-10-24 13:32:02.888212,130
34,HR,Director,115510,1,4,4.0010431763492615,2,9,17,Campus,2015-02-03,0,2025-10-24 13:32:02.888212,130
35,Operations,Senior,90559,1,2,2.098026694028313,4,9,18,LinkedIn,2015-02-04,1,2025-10-24 13:32:02.888212,130
36,Operations,Manager,76460,19,4,3.498655897134867,8,11,20,LinkedIn,2015-02-05,0,2025-10-24 13:32:02.888212,130
37,Operations,Director,77240,3,4,1.324656897854858,4,7,21,LinkedIn,2015-02-06,0,2025-10-24 13:32:02.888212,130
38,Marketing,Senior,45465,11,3,2.808809916414155,6,8,15,Referral,2015-02-07,0,2025-10-24 13:32:02.888212,130
39,HR,Senior,71250,0,4,3.9563656879718123,8,12,22,Campus,2015-02-08,0,2025-10-24 13:32:02.888212,130
40,HR,Junior,34142,5,2,3.74605577217301,2,4,18,LinkedIn,2015-02-09,0,2025-10-24 13:32:02.888212,130
41,Engineering,Mid-Level,100561,8,2,4.260288402703227,3,4,13,Campus,2015-02-10,0,2025-10-24 13:32:02.888212,130
42,Marketing,Mid-Level,20357,14,2,4.509808506412675,7,10,17,Agency,2015-02-11,0,2025-10-24 13:32:02.888212,130
43,Finance,Director,96372,2,3,4.092734005035033,4,7,27,LinkedIn,2015-02-12,0,2025-10-24 13:32:02.888212,130
44,Marketing,Mid-Level,99485,6,4,3.686350971755704,8,9,21,LinkedIn,2015-02-13,0,2025-10-24 13:32:02.888212,130
45,Finance,Manager,107969,3,5,1.1268899672641246,4,5,20,LinkedIn,2015-02-14,0,2025-10-24 13:32:02.888212,130
46,Engineering,Mid-Level,77171,0,3,3.139866693637776,4,13,18,Agency,2015-02-15,0,2025-10-24 13:32:02.888212,130
47,Sales,Director,97915,5,4,1.1507908996594112,4,10,18,Agency,2015-02-16,0,2025-10-24 13:32:02.888212,130
48,HR,Mid-Level,71006,5,4,4.232271268464091,6,9,21,Referral,2015-02-17,0,2025-10-24 13:32:02.888212,130
49,Engineering,Manager,45332,13,2,2.2828980978398303,7,8,18,Website,2015-02-18,0,2025-10-24 13:32:02.888212,130
50,HR,Junior,113268,3,3,3.2497174964716837,2,10,22,Campus,2015-02-19,1,2025-10-24 13:32:02.888212,130
51,Operations,Director,72577,1,2,2.1177812292756104,5,9,21,Website,2015-02-20,1,2025-10-24 13:32:02.888212,129
52,Sales,Junior,39762,0,3,4.130000577521175,5,5,14,LinkedIn,2015-02-21,0,2025-10-24 13:32:02.888212,129
53,Sales,Junior,63329,2,5,4.546010106567611,5,13,22,LinkedIn,2015-02-22,0,2025-10-24 13:32:02.888212,129
54,Engineering,Junior,64316,1,2,2.594569976852256,4,5,15,Referral,2015-02-23,1,2025-10-24 13:32:02.888212,129
55,Sales,Senior,86542,7,4,4.4516895740439555,6,21,15,Website,2015-02-24,0,2025-10-24 13:32:02.888212,129
56,Finance,Senior,133676,2,3,2.0683000298253296,4,3,19,LinkedIn,2015-02-25,0,2025-10-24 13:32:02.888212,129
57,Sales,Junior,88060,14,3,3.1386436923020953,5,5,21,Website,2015-02-26,0,2025-10-24 13:32:02.888212,129
58,HR,Director,80171,16,3,4.435045719354816,4,7,23,Referral,2015-02-27,0,2025-10-24 13:32:02.888212,129
59,HR,Manager,136394,4,3,2.3035253704631615,3,6,9,Website,2015-02-28,0,2025-10-24 13:32:02.888212,129
60,HR,Manager,99472,13,1,4.816169060312343,3,6,23,Campus,2015-03-01,0,2025-10-24 13:32:02.888212,129
61,HR,Mid-Level,81356,7,2,1.4875180071255345,4,5,22,Referral,2015-03-02,0,2025-10-24 13:32:02.888212,129
62,Finance,Director,63014,3,1,1.073100278894025,3,5,16,Website,2015-03-03,0,2025-10-24 13:32:02.888212,129
